model_name,use_sentiment,rmse,mae
lstm_price_only,0,0.0367421722617243,0.0282355995823909
gru_price_only,0,0.0317614858883966,0.024857890407058
gru_price_only,0,0.027493693895496,0.0206582949665016
att_cnn_lstm_price_only,0,0.0319791622203921,0.0251873715567825
lstm_with_sentiment,1,0.0968150042292601,0.0670429491474434
gru_with_sentiment,1,0.1522272802104533,0.0792958637279032
att_cnn_lstm_with_sentiment,1,0.0437718223635816,0.0347227313983074
ma7_baseline,0,241.4912584790826,239.3842201962393
ma14_baseline,0,239.6490142652884,237.5910238732949
xgb_price_only,0,0.0185166210234624,0.0129843042877786
att_cnn_lstm_price_only,0,0.0210529863444318,0.0155625824051468
gru_with_sentiment,1,0.152740453846871,0.0915756346062528
lstm_with_sentiment,1,0.0794153470470908,0.052618366317915
att_cnn_lstm_with_sentiment,1,0.046764649702902,0.0289662190806539
lstm_price_only,0,0.0232686259967752,0.0178185619174675
gru_price_only,0,0.03900814061836645,0.03029220163883922
